start_macroblock                        ,2475           ,2010           ,124107         ,3351.7         
terminate_macroblock                    ,2475           ,927            ,4626           ,1354.0         
OneComponentLumaPrediction4x4           ,299240         ,216            ,129294         ,292.4          
LumaResidualCoding8x8                   ,75856          ,1494           ,43464          ,4905.4         
LumaResidualCoding                      ,9504           ,9276           ,168057         ,18158.1        
LumaPrediction4x4                       ,299236         ,288            ,100854         ,418.3          
ChromaPrediction4x4                     ,235632         ,75             ,38004          ,927.9          
ChromaResidualCoding                    ,29724          ,8544           ,184581         ,15574.1        
IntraChromaPrediction                   ,2475           ,1884           ,24465          ,4773.0         
write_one_macroblock                    ,2475           ,945            ,127896         ,6706.2         
writeMBLayer                            ,29811          ,372            ,246534         ,15630.2        
writeChromaCoeff                        ,29327          ,45             ,44007          ,1475.0         
writeChromaIntraPredMode                ,17961          ,132            ,119256         ,301.3          
writeMotionInfo2NAL                     ,29328          ,51             ,36036          ,828.7          
writeReferenceFrame                     ,55738          ,45             ,72963          ,272.5          
writeMotionVector8x8                    ,63138          ,237            ,117390         ,840.0          
writeCBPandLumaCoeff                    ,29315          ,279            ,145663         ,12635.6        
writeLumaCoeff8x8                       ,46146          ,2127           ,132450         ,4305.0         
writeCoeff4x4_CAVLC                     ,1505299        ,369            ,55111          ,1148.9         
find_sad_16x16                          ,8925           ,3345           ,140013         ,8914.9         
free_dpb                                ,1              ,7196           ,7196           ,7196.0         
alloc_storable_picture                  ,25             ,122145         ,502831         ,253706.3       
store_picture_in_dpb                    ,25             ,28594305       ,29763276       ,29322254.9     
output_one_frame_from_dpb               ,25             ,22827          ,52167          ,44020.4        
idr_memory_management                   ,1              ,6924           ,6924           ,6924.0         
flush_dpb                               ,2              ,2241           ,6679701        ,3340971.0      
unmark_for_reference                    ,31             ,112            ,1048864        ,168982.5       
sliding_window_memory_management        ,24             ,492            ,558600         ,184077.2       
insert_picture_in_dpb                   ,25             ,28281855       ,29828112       ,28784527.4     
alloc_colocated                         ,1              ,120930         ,120930         ,120930.0       
free_colocated                          ,1              ,1045107        ,1045107        ,1045107.0      
Clear_Motion_Search_Module              ,1              ,546273         ,546273         ,546273.0       
FindSkipModeMotionVector                ,2376           ,906            ,77388          ,2356.8         
SetMotionVectorPredictor                ,790944         ,210            ,176040         ,424.2          
PartitionMotionSearch                   ,49801          ,10971          ,20268435       ,637326.1       
BlockMotionSearch                       ,768223         ,3873           ,8092404        ,40666.7        
SubPelBlockMotionSearch                 ,766064         ,534            ,2702713        ,10717.9        
sign                                    ,6345429        ,30             ,210588         ,54.8           
